headline,author,publish_time,content
It’s a bit like being in Planet of the Apes, Aissa Yago, who lives on the Ile Saint Louis in central Paris, told AFP this week from behind a barrier. All they need to do is throw us some peanuts.
Elsewhere today, the first athletes are set to arrive to take up residence in the newly built Olympic Village in a northern suburb of the capital.
Comprising around 40 different low-rise housing blocs, the complex has been built as a showcase of innovative construction techniques using low-carbon concrete, water recycling and reclaimed building materials.
It was intended to be free of air-conditioning, although Olympic delegations have ordered around 2,500 portable cooling units for their athletes out of fear of the impact of high temperatures on their performances.
The major countries are going to arrive on the first day … so Great Britain, the US, New Zealand, Brazil, Switzerland, the deputy head of the French delegation, Andre-Pierre Goubert, told AFP.
At full capacity, the village will host 14,500 people including 9,000 athletes.
The Olympics will be followed by the Paralympics from Aug 28-Sept 8.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
Farmer released on police bail in poisoned keropok case | FMT,Bernama,2024-07-18T02:01:32+08:00,"KULIM: A 33-year-old man remanded to assist in the investigation into the incident involving two brothers who died from consuming crackers tainted with poison has been released on police bail.
Kulim district police chief Mohd Azizul Mohd Khairi said the suspect, a farmer, had been held in remand from July 11 until yesterday.
“The remand period will not be extended, and the suspect is released on police bail pending the decision of the deputy public prosecutor.
The investigation papers have been submitted to the deputy public prosecutor, he said in a statement today.
Muhammad Akil Syauqi Nur Sufyan, three, and his younger brother, Muhammad Luth Syauqi, two, died after consuming crackers laced with rat poison.
The two boys were believed to have consumed the packet of crackers placed on a fence erected by a farmer to trap monkeys in Kampung Padang Ubi, Labu Besar, near here on July 7.
Muhammad Akil Syauqi passed away at Penang Hospital on July 10 while Muhammad Luth Syauqi died two days later at the same hospital.
The brothers were laid to rest at the Muslim cemetery in Kampung Banggol Berangan, Baling.
The case is being investigated under Section 31(1)(a) of the Child Act 2001 and Section 284 of the Penal Code.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
Thai cops say cyanide killed 6 foreigners in Bangkok hotel | FMT,Reuters,2024-07-17T06:09:04+08:00,"BANGKOK: Cyanide poisoning was likely the cause of the deaths of six foreigners whose bodies were found in a room in a plush Bangkok hotel, with the suspected killer among the dead, Thai police said on Wednesday
The rapid-acting, deadly chemical was found on drinking glasses and a teapot in the room at the luxury Grand Hyatt Erawan hotel, and interviews with relatives of the dead revealed there had been a dispute over debt related to an investment, police said.
The six were all of Vietnamese ethnicity, two of those US nationals, and were found dead late on Tuesday. The US Federal Bureau of Investigation had assisted police with the investigation, police said.
We found cyanide in the teacups, all six cups we found cyanide, Trirong Phiwpan, Commander of the Thai police evidence office, told a press conference.
After staff brought tea cups and two hot water bottles, milk and tea pots… one of the six introduced cyanide. The results of an autopsy were expected within the next day, police said.
Vietnam’s government said its embassy in Bangkok was closely coordinating with Thai authorities on the case, while the US state department said it was monitoring the situation and local authorities were responsible for the investigation.
The Grand Hyatt Erawan, operated by Erawan Group, has over 350 rooms and is located in a popular tourist district known for luxury shopping and restaurants.
News of the deaths, initially reported by some Thai media as a shooting, could be a setback for Thailand as it bets heavily on its vital tourism sector reviving an economy that has struggled since the pandemic.
Thailand is expecting 35 million foreign arrivals this year, up from 28 million last year who spent 1.2 trillion baht (US$33.71 billion).
Prime Minister Srettha Thavisin on Tuesday urged a swift probe into the issue to limit the impact on Thailand’s travel sector.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
Cops call Teoh Beng Hock group members in for questioning | FMT,FMT Reporters,2024-07-17T06:06:29+08:00,"PETALING JAYA: Police have summoned three members of the Teoh Beng Hock Association for Democratic Advancement (TBH-ADA) to give their statements under the Peaceful Assembly Act 2012, the group said.
TBH-ADA chairman Ng Yap Hwa said the Brickfields police headquarters called him and fellow members, Wong Yan Ke and Wong Voon How, to give their statements at 5.30pm today.
Ng said the group would also lodge a report at the same station alleging police violence.
On Monday, at the climax of the group’s walk of justice, a handful of members tried to gain access to Parliament and were intercepted by police. There was a brief scuffle, during which Teoh’s sister Lee Lan fell to the ground and was apparently hurt.
Ng also claimed that one woman – a member of the demonstration’s organising committee – was grabbed at the collar by a policeman, which broke her necklace and left red marks on her neck.
After a brief stand-off, the group was able to submit the memorandum but could not enter the building as originally planned.
Ng said the group planned to bill the government and request compensation for the damage to the necklace and medical treatment.
On May 5, the group launched a campaign called The Search for Missing Prime Minister Anwar Ibrahim in Kuala Kubu Bharu, following multiple failed attempts by the family to meet Anwar since he took office.
In 2009, Teoh, the former aide to then Selangor executive councillor Ean Yong Hian Wah, was found dead on the fifth floor of Plaza Masalam in Shah Alam, hours after he arrived for questioning on the 14th floor of the Selangor Malaysian Anti-Corruption Commission headquarters.
A coroner’s inquest in 2011 delivered an open verdict, and his family subsequently filed an appeal against the findings. Three years later, the Court of Appeal set aside the open verdict and ruled that Teoh’s death was caused by multiple injuries as a result of unlawful acts by unknown persons.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
"Farah Kartini’s cause of death yet to be established, say police | FMT",Bernama,2024-07-17T03:08:06+08:00,"SUNGAI BULOH: The cause of death of 25-year-old Nur Farah Kartini Abdullah has yet to be established due to the state of decomposition of her body, particularly in the chest and face, says Selangor police chief Hussein Omar Khan.
He said the Sungai Buloh Hospital forensic department pathologist required laboratory analysis results from several biological samples from the remains to ascertain the cause of death.
“Due to the decomposition, especially in the chest and face, experts are currently unable to confirm the cause of death.
Once we receive the laboratory analysis results, the experts can proceed with determining the cause of death, he told reporters today.
Hussein also confirmed that a Toyota car belonging to the suspect, an acquaintance of Farah’s, had been seized for further investigation.
Farah’s body was discovered in an oil palm plantation area in Kampung Sri Kledang, Hulu Selangor, at around 6pm on Monday.
She was reported missing on July 10 after delivering a rental car to a customer.
A 26-year-old man, also a policeman stationed in Perak, was subsequently arrested and remanded for seven days until July 22 to assist in the investigation under Section 302 of the Penal Code.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
"1,550 child sex probes classified ‘NFA’ since 2018 | FMT",FMT Reporters,2024-07-16T23:17:39+08:00,"PETALING JAYA: A total of 1,550 child sex investigations from 2018 to May 2024 were classified as no further action (NFA) by the authorities, law and institutional reform minister Azalina Othman Said says.
In a written parliamentary reply to Syerleena Abdul Rashid (PH-Bukit Bendera) yesterday, she said police statistics showed that 7,727 investigations were opened during this period.
Of the total, 1,954 cases are under investigation, 1,550 cases were classified NFA, and 4,223 cases resulted in criminal charges, she said.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
6 found dead in Bangkok hotel room | FMT,Reuters,2024-07-16T14:05:14+08:00,"BANGKOK: Six people were found dead at an upmarket hotel in Bangkok today, including at least one American national of Vietnamese descent, the Thai government said, as the prime minister ordered a swift investigation to stem any damage to the tourism sector.
The Thai police said in a separate statement that the six people were all foreign nationals.
The incident, which took place at Bangkok’s plush Grand Hyatt Erawan hotel, comes as Thailand looks to further promote its tourism sector, a key driver of Southeast Asia’s second largest economy.
The prime minister has ordered all agencies to urgently take action to avoid impact on tourism, the Thai government said in its statement.
A police official, speaking on condition of anonymity, dismissed earlier reports in Thai media that the six people had been killed in a shooting.
There is no sign of a shooting, the official told Reuters, adding that there were Vietnamese nationals among the dead.
The official did not elaborate further.
The US and Vietnamese embassies in Bangkok did not respond to calls from Reuters.
Police officers found the bodies of six deceased foreign nationals at the Grand Hyatt Erawan after receiving a call from the hotel’s staff at around 5.30pm reporting that there had been deaths, the Thai police said in its statement.
Police and medical services could not immediately be reached for further comment.
The Grand Hyatt Erawan, which has over 350 rooms and is located in a popular tourist district known for luxury shopping and restaurants, did not immediately respond to calls or an email seeking comment.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
"Police won’t protect officer remanded in Sarawakian’s murder, says IGP | FMT",FMT Reporters,2024-07-16T11:57:26+08:00,"PETALING JAYA: Inspector-General of Police Razarudin Husain says police will not protect a policeman who has been remanded on suspicion of being involved in the murder of a 25-year-old woman.
Nur Farah Kartini Abdullah, who went missing last week, was found dead at an oil palm estate in Kampung Sri Kledang, Hulu Selangor, yesterday.
We will not allow this case to tarnish the police’s image, he told Sinar Harian when asked about a lance corporal who was arrested to assist in the murder probe.
“Our stance is clear – your rank or position does not matter.
Police officers who commit crimes will face justice for their action. Don’t expect us to protect them, he said, adding that the police will conduct a transparent and fair investigation.
Razarudin also reminded all police personnel that they have taken oaths to serve the public and uphold the law.
Remember this oath and realise that your actions can affect the entire police force.
Earlier today, Sinar Harian reported that the 26-year-old suspect had been remanded for seven days from today to assist in the investigation.
He had been stationed at the Slim River police station in Perak for the past five years.
The man was arrested by police yesterday, not long after Farah’s body was discovered. She was reportedly murdered by someone she knew.
Farah, from Sarawak, was reported missing at about 2am on July 10 after delivering a rental car to a customer at Felda Gedangsa in Hulu Selangor.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
4-year-old falls to death from 16th floor of apartment | FMT,FMT Reporters,2024-07-16T04:29:45+08:00,"PETALING JAYA: A four-year-old girl died after falling from the 16th floor of an apartment in Putrajaya this morning.
Sinar Harian reported Putrajaya police chief A Asmadi Abdul Aziz as saying police were notified about the incident at 7.50am.
The child was reportedly found lying on the road below the apartment unit in Presint 9.
According to Bernama, Asmadi said initial investigations found that the incident occurred when she was home alone when her father went out to send her eldest sister to a nearby school, while her mother, a kindergarten teacher, was out at work.
The victim was the youngest of two siblings, and it was the daily routine to leave her sleeping alone before being sent to the nursery on the ground floor of the block, he said.
The body has been taken to Putrajaya Hospital’s forensic unit for post-mortem.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
4 killed in shooting near Oman mosque | FMT,AFP,2024-07-16T03:42:48+08:00,"MUSCAT: Four people were killed and multiple others wounded in a shooting near a mosque in Oman’s capital Muscat, police said Tuesday.
The Royal Oman Police have responded to a shooting incident that occurred in the vicinity of a mosque in the Al-Wadi Al-Kabir area, police said in a statement.
The force gave an initial toll of four killed and several others wounded at the mosque in eastern Muscat.
Such an attack is rare in the Sultanate, which has regularly played the role of mediator in regional conflicts.
The US embassy in Muscat issued a security alert following the shooting and cancelled all visa appointments Tuesday.
US citizens should remain vigilant, monitor local news and heed directions of local authorities, the embassy wrote on social media platform X.
Footage verified by AFP shows people fleeing near Imam Ali Mosque, its minaret visible, as gunshots ring out.
A voice can be heard saying oh God and repeating oh Hussein, referring to the imam who Shiites view as the rightful successor to the Prophet Mohammed.
Shiites this week mark Ashura, an annual day of mourning that commemorates the 7th-century battlefield martyrdom of Hussein.
Police said that all necessary security measures and procedures have been taken to handle the situation in their statement.
The authorities are continuing to gather evidence and conduct investigations to uncover the circumstances surrounding the incident, the force said on X.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
ATOPALM MLE Cream is an intense moisturising cream suitable for all ages.





Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
Labourer arrested on suspicion of raping step-granddaughter | FMT,FMT Reporters,2024-07-15T15:49:31+08:00,"PETALING JAYA: A 55-year-old man has been arrested in Besut on suspicion of raping his teenage step-granddaughter.
The incident came to light after the 14-year-old sought treatment for depression at Besut Hospital here yesterday and revealed what had happened to her during the therapy session, Besut police chief Abdul Rozak Muhammad said.
“The hospital lodged a police report yesterday. The victim claimed she was last raped by her step-grandfather in September 2021.
The doctor found self-harm injuries on the victim’s body, which were inflicted due to her depression following the alleged rape, he said in a statement today, Bernama reported.
He added that the Form 2 student at a school in Besut claimed the incident happened at her grandmother’s house, where she lived after her parents were separated. She said the suspect had threatened her not to tell anyone.
Rozak said the labourer was arrested at 10pm yesterday and has been remanded for seven days to facilitate the investigation into the case under Section 376 of the Penal Code.
Meanwhile, in Seremban yesterday, police arrested a man on suspicion of raping his daughter for the past six years.
The victim, who is 24 years old now, gave birth to a baby girl in Gemencheh four years ago. The baby is believed to have been fathered by the suspect.
Tampin police chief Amiruddien Sariman said the 52-year-old man was arrested at 10pm after the victim’s aunt lodged a report about half an hour earlier.
“The rape took place between 2019 and July this year. The unemployed victim did not file a report out of fear.
The man is in remand for seven days to assist in the investigation under Section 376B of the Penal Code, he said in a statement here today.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
Spanish rescuers find remains thought to be of missing British teen | FMT,Reuters,2024-07-15T15:20:22+08:00,"MADRID: A rescue team on the Spanish island of Tenerife today found human remains in the area where British teenager Jay Slater went missing nearly a month ago and evidence strongly suggests they are his, police said.
The Guardia Civil police force said in a statement that he may have died due to a fall in the difficult-to-access mountainous area, but that an autopsy would confirm whether it was an accident.
A police spokesman said the body was found this morning by a Civil Guard mountain rescue group.
The family has been notified and an autopsy will take place shortly, with the case then being transferred to a Tenerife court to determine the cause of death, the spokesman said.
Slater, 19, went missing on June 17 and his phone was last traced to the Masca ravine in a remote national park on the Canary Islands archipelago.
On June 30, Spanish police said they had ended a search for Slater that had involved dozens of officers, rescue workers and volunteers using dogs, drones and a helicopter.
However, today they said Guardia Civil officers had maintained a continuous and discrete search in the area for the whole 29 days.
The family could not be reached immediately for comment.
British overseas missing persons charity LBT Global, which has carried several statements on behalf of the family, said in an email that the body found looks to be that of Jay Slater.
The remains were found with Slater’s possessions and clothes and it is understood it was discovered close to the site of his mobile phone’s last location, LBT Global said.
Slater’s mother, Debbie, said on July 13 the family had arranged for a team of experts with specialist dogs to fly in over the weekend from the Netherlands.
Jay is just a normal hardworking young lad from Lancashire who is very loved by all who know him, she wrote in a statement, asking people to pray for him and his family.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
Suspect nabbed as woman who went missing on July 10 found dead | FMT,FMT Reporters,2024-07-15T14:31:13+08:00,"PETALING JAYA: The body of a woman reported missing last Wednesday after delivering a rental car to a customer at Felda Gedangsa in Hulu Selangor was found this evening.
Nur Farah Kartini Abdullah, 25, is believed to have been murdered by someone she knew.
Selangor police chief Hussein Omar Khan said a suspect has been arrested and the case is being investigated under Section 302 of the Penal Code for murder, Harian Metro reported.
Farah, from Sarawak, was reported missing at about 2am on July 10.
Stay current - Follow FMT on WhatsApp, Google news and Telegram
Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy
Copyright © 2009 - 2024 FMT Media Sdn Bhd. All Rights Reserved. A part of Media Prima Group."
